[0827/171051.384:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.402:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: 管道正關閉中。 (0xE8)
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/171051.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174326.983:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174327.030:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: 管道正關閉中。 (0xE8)
[0827/174329.920:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174329.920:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174330.170:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174330.186:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174331.420:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174331.420:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.233:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.233:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.639:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.639:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.905:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174332.920:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174333.063:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174333.064:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174339.265:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174339.266:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174341.269:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174341.270:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174346.270:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174346.271:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174350.296:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174350.297:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.074:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.075:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.076:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.076:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.077:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.077:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.078:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174506.078:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174527.938:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174527.939:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174527.940:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174527.941:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
